schmokten	SmÖkten	SmÖken	VERB._.Pl.Ind.Prt.wk	1.0	dict/vocab.json
schneet	SnEt	SnIden	VERB.1.Sg.Ind.Prt.wk.st	0.9310344827586207	dict/vocab.json
schneet	SnEt	SnIden	VERB.3.Sg.Ind.Prt.wk	1.0	dict/vocab.json
schnieden	SnIden	SnIden	VERB.Inf	1.0	dict/vocab.json
schnieden	SnIden	SnIden	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
Schniederg'sell	SnIdergsel	SnIder+gsel	NOUN.Masc.Acc	1.0	dict/vocab.json
Schniederg'sell	SnIdergsel	SnIder+gsel	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schniederg'sell	SnIdergsel	SnIder+gsel	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Schnieder	SnIder	SnIder	NOUN.Masc.Acc	1.0	dict/vocab.json
Schnieder	SnIder	SnIder	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schnieders	SnIders	SnIder	NOUN.Masc.Gen.arch	1.0	dict/vocab.json
Schnieder	SnIder	SnIder	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Schnieders	SnIders	SnIder	NOUN.Pl_s.Acc	1.0	dict/vocab.json
Schnieders	SnIders	SnIder	NOUN.Pl_s.Nom	1.0	dict/vocab.json
Schnaps	Snaps	Snaps	NOUN.Masc.Acc	1.0	dict/vocab.json
Schnaps	Snaps	Snaps	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schnaps	Snaps	Snaps	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Schnitz	Snits	Snits	NOUN.Masc.Gen.arch	1.0	dict/vocab.json
schnurr	Snur	Snuren	VERB.1.Sg.Ind.Prs	0.8134328358208955	dict/vocab.json
schnurr	Snur	Snuren	VERB.2.Sg.Imp	1.0	dict/vocab.json
schupp	Sup	Sup	INTJ	1.0	dict/vocab.json
Schweden	SwEden	SwEden	PROPN.Pl_en.Acc	1.0	dict/vocab.json
Schweden	SwEden	SwEden	PROPN.Pl_en.Dat	1.0	dict/vocab.json
Schweden	SwEden	SwEden	PROPN.Pl_en.Gen.arch	1.0	dict/vocab.json
Schweden	SwEden	SwEden	PROPN.Pl_en.Nom	1.0	dict/vocab.json
schweerlich	SwErlix	SwErlix	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
schweerlich	SwErlix	SwErlix	ADJ.Pos.Fem.Nom.hd	0.9253731343283582	dict/vocab.json
schweerlich	SwErlix	SwErlix	ADJ.Pos.Masc.Nom.hd	0.9253731343283582	dict/vocab.json
schweerlich	SwErlix	SwErlix	ADJ.Pos.Neut.Acc.wk.hd	0.9054726368159204	dict/vocab.json
schweerlich	SwErlix	SwErlix	ADJ.Pos.Neut.Nom.wk.hd	0.9104477611940298	dict/vocab.json
schweerlich	SwErlix	SwErlix	ADJ.Pos.Pl.Acc.wk.hd	0.9054726368159204	dict/vocab.json
schweerlich	SwErlix	SwErlix	ADJ.Pos.Pl.Nom.wk.hd	0.9054726368159204	dict/vocab.json
schweerlich	SwErlix	SwErlix	ADV.hd	0.6965174129353234	dict/vocab.json
schweeg	SwEg	SwIgen	VERB.1.Sg.Ind.Prt.wk	1.0	dict/vocab.json
schweeg	SwEg	SwIgen	VERB.3.Sg.Ind.Prs.st	0.5	dict/vocab.json
schweeg	SwEg	SwIgen	VERB.3.Sg.Ind.Prt.wk	1.0	dict/vocab.json
schweg	SwEg	SwIgen	VERB.3.Sg.Ind.Prt.wk	1.0	dict/vocab.json
Schwienstall	SwInstal	SwIn+stal	NOUN.Masc.Acc	1.0	dict/vocab.json
Schwienstall	SwInstal	SwIn+stal	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schwienstall	SwInstal	SwIn+stal	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Schwien	SwIn	SwIn	NOUN.Neut.Acc	1.0	dict/vocab.json
Schwien	SwIn	SwIn	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Schwien	SwIn	SwIn	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
Schwienskopp	SwInskop	SwIns+kop	NOUN.Masc.Acc	1.0	dict/vocab.json
Schwienskopp	SwInskop	SwIns+kop	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schwienskopp	SwInskop	SwIns+kop	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
schwart	Swart	Swart	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
schwarte	Swarte	Swart	ADJ.Pos.Fem.Nom	1.0	dict/vocab.json
schwarte	Swarte	Swart	ADJ.Pos.Masc.Nom.arch	0.9868421052631579	dict/vocab.json
schwart	Swart	Swart	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
schwart	Swart	Swart	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
schwart	Swart	Swart	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
schwart	Swart	Swart	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
schwart	Swart	Swart	ADV	0.6965174129353234	dict/vocab.json
schwemmt	Swemt	Swemen	VERB.1.Sg.Ind.Prt.wk	0.5560538116591929	dict/vocab.json
schwemmt	Swemt	Swemen	VERB.2.Pl.Imp	0.6636771300448431	dict/vocab.json
schwemmt	Swemt	Swemen	VERB.3.Sg.Ind.Prs	1.0	dict/vocab.json
schwemmt	Swemt	Swemen	VERB.3.Sg.Ind.Prt.wk	0.5515695067264574	dict/vocab.json
schwemmt	Swemt	Swemen	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
schwenken	Swenken	Swenken	VERB.Inf	1.0	dict/vocab.json
schwenken	Swenken	Swenken	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
schwög'	SwÖg	SwÖgen	VERB.1.Sg.Ind.Prs	1.0	dict/vocab.json
schwög'	SwÖg	SwÖgen	VERB.2.Sg.Imp	0.8650793650793651	dict/vocab.json
schwoor	SwOr	SwÖren	VERB.1.Sg.Ind.Prt.wk.st	0.9310344827586207	dict/vocab.json
schwoor	SwOr	SwÖren	VERB.3.Sg.Ind.Prt.wk	1.0	dict/vocab.json
Schoaden	Såden	Såden	NOUN.Masc.Acc.Sg	1.0	dict/vocab.json
Schoaden	Såden	Såden	NOUN.Masc.Dat.Sg	0.9498327759197325	dict/vocab.json
Schoaden	Såden	Såden	NOUN.Masc.Nom.Sg	0.9264214046822743	dict/vocab.json
afgeschnapst	afgeSnapst	af+Snapsen	VERB.PPast.wk	1.0	dict/vocab.json
