schmitt	Smit	SmIten	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
schmieten	SmIten	SmIten	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
Schmook	SmOk	SmOk	NOUN.Masc.Acc	1.0	dict/vocab.json
Schmook	SmOk	SmOk	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schmook	SmOk	SmOk	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
schmacken	Smaken	Smaken	VERB.Inf	1.0	dict/vocab.json
schmacken	Smaken	Smaken	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
Schmatz	Smats	Smats	NOUN.Masc.Gen.arch	1.0	dict/vocab.json
schmeckt	Smekt	Smeken	VERB.1.Sg.Ind.Prt.wk.st	0.7207792207792207	dict/vocab.json
schmeckt	Smekt	Smeken	VERB.2.Pl.Imp	1.0	dict/vocab.json
schmeckt	Smekt	Smeken	VERB.3.Sg.Ind.Prs.st	0.961038961038961	dict/vocab.json
schmeckt	Smekt	Smeken	VERB.3.Sg.Ind.Prt.wk.st	0.7142857142857143	dict/vocab.json
schmeckt	Smekt	Smeken	VERB.PPast.wk.st	0.7402597402597403	dict/vocab.json
Schmurgeln	Smurgeln	Smurgeln	NOUN.Neut.Acc	1.0	dict/vocab.json
Schmurgeln	Smurgeln	Smurgeln	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Schmurgeln	Smurgeln	Smurgeln	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
schmärt	SmÄrt	SmEren	VERB.PPast.wk	1.0	dict/vocab.json
schmärt	SmÄrt	SmÄren	VERB.PPast.wk	1.0	dict/vocab.json
Schmölln	SmÖln	Smöln	PROPN.Neut.Acc	1.0	dict/vocab.json
Schmölln	SmÖln	Smöln	PROPN.Neut.Dat	1.0	dict/vocab.json
Schmölln	SmÖln	Smöln	PROPN.Neut.Nom	1.0	dict/vocab.json
Schnieder	SnIder	SnIder	NOUN.Masc.Acc	1.0	dict/vocab.json
